RefID,Site,Dépt,Région,Commune,Indice PL,Description,Latitude,Longitude,Photo
258,Necropole Militaire,67,Alsace,Grendelbruch,12,Quitter Grendelbruch par la Route du Champ du Feu direction le Hohbul. Petit parking pour 4 voitures,18,37
562,Gites Astro Espagne,,Salamanque,Villanueva-del-C,20,2 gites de 2 à 7 places avec grand jardin et vues imprenable dans la montagne a une heure de Salamanque (Espagne). Le propriétaire est français. Un oberservatoire dans le jardin muni d'un newton de 200mm masi surtout sorties avec un Dobson Factory de 500mm. Qualité du ciel exceptionnel. Vacances garanties...,40.5022222222222,-6.01222222222222
22,Col de Morena,66,Languedoc-Roussillon,Osseja,19,Accessible en voiture,42.3555555555556,2.02583333333333
227,Borne 504,66,Languedoc-Roussillon,Osseja,19,"Accès facile en voiture, sans PL, dommage que Barcelone pourtant 100km déteriore l'horizon sud",42.3561111111111,2.02333333333333
576,Gite Candella,2B,Corse,Galeria,,"Gite très sympa, super bien agencé, avec un grand parking pour le matériel. Le ciel est NOIR d'encre ! Mesures moyennes au SQM sur 3 nuit : 21.74 (45° aux 4 points cardinaux + zenith). Accueil très sympa, et les promenades autours du gites sont géniales (",42.4,8.70277777777778
47,Les Cabannes de Fourquets,66,Languedoc-Roussillon,La Preste,19,Un « Must » accessible en voiture,42.4358333333333,2.39638888888889
376,Col de Banyul,66,Languedoc-Roussillon,Banyuls/Mer,18,"col frontiere avec l'espagne , casenate en beton creuser dans la montagne , toujour ouvert, sert de refuge en cas d'orage ,plusieurs emplacements d'observations possibles, point ponctuel d'observation pour vacancier sur la cote vermeille ( argeles,coullioure , port vendre banyul cerbere ),presence de pollution lumineuse dans la plaine espagnole et le littoral français mais ça reste un bon endroit pour les vacanciers dans un coin trés pytoresque et qui permet de plus une belle ballade dans l'arriere pays avec notament la visite de la maison de maillol et son musée au passage , route entierement goudronée avec parking facile pour les voitures ",42.4502777777778,3.05416666666667
32,Corsavy terrain de sport,66,Languedoc-Roussillon,Corsavy,19,Accessible en voiture,42.4713888888889,2.58722222222222
33,Corsavy Tour de Batere,66,Languedoc-Roussillon,Corsavy,19,"Accessible en voiture, route en terre bien praticable",42.5083333333333,2.57805555555556
271,Col Blan,,Limousin,Pas de la Casa,19,Excellent site à 2550m sauf horizon nord moyen,42.5275,1.72111111111111
541,Pedanu,2b,Ile-de-France,Pietralba,,,42.5427777777778,9.17638888888889
217,Lac des Bouillouses,66,Languedoc-Roussillon,Les Angles,19,"Très bon site, accés facile mais attention aux restrictions, gite libre (print/aut) ou gardé (hiver)",42.56,2.00416666666667
272,Col du Puymorens,66,Languedoc-Roussillon,Porte-Puymorens,19,"Très bon site en cas de vent car bien abrité, par nuit sans vent préférer le Col Blan à quelques km de là, moins turbulent",42.5744444444444,1.8275
10,Chapelle St Amand,66,Languedoc-Roussillon,Montauriol,17,Accessible en voiture,42.575,2.70055555555556
403,La Collade,66,Languedoc-Roussillon,Corneilla- de-C,18,"10 autres minutes de piste sans"" nids de poules""",42.5775,2.39111111111111
11,Chapelle St Pons,66,Languedoc-Roussillon,Caixas,18,Accessible en voiture,42.6102777777778,2.64416666666667
38,Gite des Camporells,66,Languedoc-Roussillon,Mont-Louis,19,Site expeptionnel mais... 2 heures de marche ? (refuge avec gardien Astronome !),42.6222222222222,2.015
232,La Bonaigua,,Limousin,Valqueira,19,"Très bon site, nord limité par montagne, pas de halos visible, hotel fermé en mai, donc aucune lumiere parasite.",42.6638888888889,0.98
15,Col de Boco Jolere,66,Languedoc-Roussillon,Campôme,19,Accessible en voiture,42.6763888888889,2.43722222222222
226,Observatoire de Le Soler,66,,Le Soler,4,Observatoire de l'Association Terre-Univers de Le Soler,42.6836111111111,2.79916666666667
565,Col des Tentes,65,Midi-Pyrénées,Gavarnie,20,"parking des randonneurs interdit aux campings-cars magnifique lieu d'observation en dehors des périodes d'enneigement l'hiver, la route est barrée au parking des pistes de Gavarnie (se renseigner sur l'enneigement)",42.7133333333333,-0.051111111111111
300,Plateau de Beille,9,,Albies,9.8,"Bon site très facile d'accès , route déneigée en hiver. Attention toutefois en juillet aout il y a parait-il des campingcar avec risque de lumières intempestives! Grand parking, grand choix d'emplacements, Horizons sud est et ouest TB. Les pistes de ski montent à plus de 1950m mais interdites à la circulation et les gardes de l'ONF peuvent passer par là!",42.7261111111111,1.69027777777778
475,Astrobeilles,9,Midi-Pyrénées,Albies,19,"Site privé accessible sur autorisation municipale, Lieu des rassemblements Astrobeille",42.7269444444444,1.6875
276,Cirque de Troumouse,65,Midi-Pyrénées,Gedre,20,"les rempart environnant ne s'élèvent pas  bcp au dessus de l'horizon et ne gênent pas l'obs des objets bas mais ils fournissent des remparts contre la PL très efficace, l'accès se fait par une route très bien entretenue, mais il faut s'acquitter d'un droit de passage de 4 € (au moins jusqu'a 20h) attention la nuit et souvent froide, même en été. En outre le site est somptueux, parking à l'entrée du plateau. Beaucoup d'animaux en pâture l'été (vaches et moutons),",42.7280555555556,0.096388888888889
529,Pas de Roland,9,Midi-Pyrénées,Albies,19,"L'endroit est plus sauvage qu'au parking de Beille et surtout, on a pas la colline plein sud qui bouche la vue",42.7344444444444,1.68361111111111
219,Pailhere,9,Midi-Pyrénées,Mijanes,19,"Venté, mais moins que le Col, attention aux chemins au sud, nuages et accès délicat sans 4x4",42.7377777777778,2.01222222222222
469,Super Bagneres 1er Parking ,31,Midi-Pyrénées,Saint-Aventin,18,Quelques éclairages publics mais rien de dramatique. On peut aussi rejoindre à pied la table d' orientation par un chemin sur la gauche avant le parking principal.,42.76,0.5875
470,Super Bagneres parking princ,31,Midi-Pyrénées,Saint-Aventin,18,Quelques éclairages publics mais rien de dramatique. On peut aussi rejoindre à pied la table d' orientation par un chemin sur la gauche avant le parking principal.,42.7677777777778,0.5775
230,Col d Agnes,9,Midi-Pyrénées,Aulus-les-Bains,20,"Site de bonne qualité, facile d'accès  Horizon sud TB",42.7941666666667,1.37333333333333
233,Festival Astro de Tautavel,66,Languedoc-Roussillon,Tautavel,17,"Gratuit (conf., ateliers, stands, obs.) PL à 9,9 car éclairage éteint",42.8158333333333,2.735
105,Maury,66,Languedoc-Roussillon,Maury,19,"Parking, qq lampadaires au loin, qq voitures, PL par Perpignan au SE",42.8322222222222,2.59361111111111
